            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454382.500000000, A.D. 2007-Oct-09 00:00:00.0000,  1.165395609828936E+08, -3.056601637089761E+08, -4.959349518807620E+06,  1.968918255723261E+01,  6.428959268310114E+00, -2.585819180063969E+00,  1.091291018662255E+03,  3.271608168780812E+08,  1.046323130241682E+00,
2454383.500000000, A.D. 2007-Oct-10 00:00:00.0000,  1.182390495519038E+08, -3.051003826306928E+08, -5.182693074360698E+06,  1.965074323442909E+01,  6.528891672229893E+00, -2.584158576295759E+00,  1.091593669997879E+03,  3.272515494659051E+08,  1.053962179843146E+00,
2454384.500000000, A.D. 2007-Oct-11 00:00:00.0000,  1.199351943464897E+08, -3.045319789422345E+08, -5.405890057447046E+06,  1.961178074165399E+01,  6.628556222031235E+00, -2.582426328721891E+00,  1.091898517640888E+03,  3.273429404901181E+08,  1.061564679538276E+00,
2454385.500000000, A.D. 2007-Oct-12 00:00:00.0000,  1.216279502609837E+08, -3.039549759165256E+08, -5.628934285817221E+06,  1.957229730929396E+01,  6.727949904519866E+00, -2.580622617822714E+00,  1.092205551028543E+03,  3.274349867840913E+08,  1.069130428004985E+00,
2454386.500000000, A.D. 2007-Oct-13 00:00:00.0000,  1.233172723832299E+08, -3.033693970858785E+08, -5.851819592943385E+06,  1.953229518637294E+01,  6.827069728545307E+00, -2.578747627041440E+00,  1.092514759540490E+03,  3.275276851639224E+08,  1.076659226740629E+00,
2454387.500000000, A.D. 2007-Oct-14 00:00:00.0000,  1.250031159961867E+08, -3.027752662400852E+08, -6.074539828274518E+06,  1.949177664037179E+01,  6.925912725106152E+00, -2.576801542764489E+00,  1.092826132499580E+03,  3.276210324286826E+08,  1.084150880108554E+00,
2454388.500000000, A.D. 2007-Oct-15 00:00:00.0000,  1.266854365795139E+08, -3.021726074244987E+08, -6.297088857489750E+06,  1.945074395705216E+01,  7.024475947462705E+00, -2.574784554301280E+00,  1.093139659172697E+03,  3.277150253606651E+08,  1.091605195378629E+00,
2454389.500000000, A.D. 2007-Oct-16 00:00:00.0000,  1.283641898111453E+08, -3.015614449381039E+08, -6.519460562750205E+06,  1.940919944030483E+01,  7.122756471259494E+00, -2.572696853865004E+00,  1.093455328771607E+03,  3.278096607256383E+08,  1.099021982767725E+00,
2454390.500000000, A.D. 2007-Oct-17 00:00:00.0000,  1.300393315688487E+08, -3.009418033315781E+08, -6.741648842948824E+06,  1.936714541200437E+01,  7.220751394666642E+00, -2.570538636552055E+00,  1.093773130453807E+03,  3.279049352731015E+08,  1.106401055465856E+00,
2454391.500000000, A.D. 2007-Oct-18 00:00:00.0000,  1.317108179317740E+08, -3.003137074053379E+08, -6.963647613958776E+06,  1.932458421187402E+01,  7.318457838544631E+00, -2.568310100320089E+00,  1.094093053323385E+03,  3.280008457365426E+08,  1.113742229645963E+00,
2454392.500000000, A.D. 2007-Oct-19 00:00:00.0000,  1.333786051819894E+08, -2.996771822075703E+08, -7.185450808879495E+06,  1.928151819735831E+01,  7.415872946639498E+00, -2.566011445963914E+00,  1.094415086431879E+03,  3.280973888336954E+08,  1.121045324450757E+00,
2454393.500000000, A.D. 2007-Oct-20 00:00:00.0000,  1.350426498060075E+08, -2.990322530322459E+08, -7.407052378280506E+06,  1.923794974349525E+01,  7.512993885816345E+00, -2.563642877087863E+00,  1.094739218779128E+03,  3.281945612667944E+08,  1.128310161946955E+00,
2454394.500000000, A.D. 2007-Oct-21 00:00:00.0000,  1.367029084962993E+08, -2.983789454171094E+08, -7.628446290443212E+06,  1.919388124277562E+01,  7.609817846336686E+00, -2.561204600072827E+00,  1.095065439314100E+03,  3.282923597228240E+08,  1.135536567037343E+00,
2454395.500000000, A.D. 2007-Oct-22 00:00:00.0000,  1.383593381527948E+08, -2.977172851416447E+08, -7.849626531598687E+06,  1.914931510497424E+01,  7.706342042186163E+00, -2.558696824036594E+00,  1.095393736935696E+03,  3.283907808737577E+08,  1.142724367318656E+00,
2454396.500000000, A.D. 2007-Oct-23 00:00:00.0000,  1.400118958843678E+08, -2.970472982250090E+08, -8.070587106162399E+06,  1.910425375693346E+01,  7.802563711447947E+00, -2.556119760785357E+00,  1.095724100493491E+03,  3.284898213767827E+08,  1.149873392881013E+00,
2454397.500000000, A.D. 2007-Oct-24 00:00:00.0000,  1.416605390102986E+08, -2.963690109239334E+08, -8.291322036963940E+06,  1.905869964227916E+01,  7.898480116716327E+00, -2.553473624755400E+00,  1.096056518788423E+03,  3.285894778745046E+08,  1.156983476044279E+00,
2454398.500000000, A.D. 2007-Oct-25 00:00:00.0000,  1.433052250617089E+08, -2.956824497305865E+08, -8.511825365471259E+06,  1.901265522104980E+01,  7.994088545535506E+00, -2.550758632944626E+00,  1.096390980573388E+03,  3.286897469951262E+08,  1.164054451034715E+00,
2454399.500000000, A.D. 2007-Oct-26 00:00:00.0000,  1.449459117829599E+08, -2.949876413703990E+08, -8.732091152009010E+06,  1.896612296921575E+01,  8.089386310835367E+00, -2.547975004833634E+00,  1.096727474553736E+03,  3.287906253525969E+08,  1.171086153614395E+00,
