            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454445.5, A.D. 2007-Dec-11 00:00:00.0000,2.95E+07,1.44E+08,-2.35E+03,-2.97E+01,5.86E+00,-6.28E-04,4.91E+02,1.47E+08,-2.10E-01
2454446.5, A.D. 2007-Dec-12 00:00:00.0000,2.70E+07,1.45E+08,-2.41E+03,-2.98E+01,5.34E+00,-8.02E-04,4.91E+02,1.47E+08,-2.04E-01
2454447.5, A.D. 2007-Dec-13 00:00:00.0000,2.44E+07,1.45E+08,-2.49E+03,-2.99E+01,4.81E+00,-9.43E-04,4.91E+02,1.47E+08,-1.98E-01
2454448.5, A.D. 2007-Dec-14 00:00:00.0000,2.18E+07,1.46E+08,-2.58E+03,-3.00E+01,4.29E+00,-1.04E-03,4.91E+02,1.47E+08,-1.91E-01
2454449.5, A.D. 2007-Dec-15 00:00:00.0000,1.92E+07,1.46E+08,-2.67E+03,-3.00E+01,3.76E+00,-1.09E-03,4.91E+02,1.47E+08,-1.84E-01
2454450.5, A.D. 2007-Dec-16 00:00:00.0000,1.66E+07,1.46E+08,-2.76E+03,-3.01E+01,3.24E+00,-1.08E-03,4.91E+02,1.47E+08,-1.77E-01
2454451.5, A.D. 2007-Dec-17 00:00:00.0000,1.40E+07,1.47E+08,-2.85E+03,-3.01E+01,2.71E+00,-1.02E-03,4.91E+02,1.47E+08,-1.69E-01
2454452.5, A.D. 2007-Dec-18 00:00:00.0000,1.14E+07,1.47E+08,-2.94E+03,-3.02E+01,2.18E+00,-8.90E-04,4.91E+02,1.47E+08,-1.61E-01
2454453.5, A.D. 2007-Dec-19 00:00:00.0000,8.79E+06,1.47E+08,-3.01E+03,-3.02E+01,1.66E+00,-7.04E-04,4.91E+02,1.47E+08,-1.52E-01
2454454.5, A.D. 2007-Dec-20 00:00:00.0000,6.17E+06,1.47E+08,-3.06E+03,-3.02E+01,1.13E+00,-4.68E-04,4.91E+02,1.47E+08,-1.42E-01
2454455.5, A.D. 2007-Dec-21 00:00:00.0000,3.56E+06,1.47E+08,-3.09E+03,-3.03E+01,6.01E-01,-1.94E-04,4.91E+02,1.47E+08,-1.32E-01
2454456.5, A.D. 2007-Dec-22 00:00:00.0000,9.47E+05,1.47E+08,-3.09E+03,-3.03E+01,7.40E-02,1.01E-04,4.91E+02,1.47E+08,-1.21E-01
2454457.5, A.D. 2007-Dec-23 00:00:00.0000,-1.67E+06,1.47E+08,-3.07E+03,-3.03E+01,-4.53E-01,3.95E-04,4.91E+02,1.47E+08,-1.09E-01
2454458.5, A.D. 2007-Dec-24 00:00:00.0000,-4.28E+06,1.47E+08,-3.02E+03,-3.02E+01,-9.79E-01,6.66E-04,4.91E+02,1.47E+08,-9.81E-02
2454459.5, A.D. 2007-Dec-25 00:00:00.0000,-6.89E+06,1.47E+08,-2.95E+03,-3.02E+01,-1.50E+00,8.95E-04,4.91E+02,1.47E+08,-8.67E-02
2454460.5, A.D. 2007-Dec-26 00:00:00.0000,-9.51E+06,1.47E+08,-2.87E+03,-3.02E+01,-2.03E+00,1.07E-03,4.91E+02,1.47E+08,-7.55E-02
2454461.5, A.D. 2007-Dec-27 00:00:00.0000,-1.21E+07,1.47E+08,-2.77E+03,-3.02E+01,-2.56E+00,1.18E-03,4.91E+02,1.47E+08,-6.46E-02
2454462.5, A.D. 2007-Dec-28 00:00:00.0000,-1.47E+07,1.46E+08,-2.67E+03,-3.01E+01,-3.08E+00,1.23E-03,4.91E+02,1.47E+08,-5.40E-02
2454463.5, A.D. 2007-Dec-29 00:00:00.0000,-1.73E+07,1.46E+08,-2.56E+03,-3.01E+01,-3.61E+00,1.22E-03,4.91E+02,1.47E+08,-4.40E-02
2454464.5, A.D. 2007-Dec-30 00:00:00.0000,-1.99E+07,1.46E+08,-2.46E+03,-3.00E+01,-4.13E+00,1.15E-03,4.91E+02,1.47E+08,-3.43E-02
2454465.5, A.D. 2007-Dec-31 00:00:00.0000,-2.25E+07,1.45E+08,-2.36E+03,-2.99E+01,-4.66E+00,1.04E-03,4.91E+02,1.47E+08,-2.51E-02
2454466.5, A.D. 2008-Jan-01 00:00:00.0000,-2.51E+07,1.45E+08,-2.28E+03,-2.98E+01,-5.18E+00,8.87E-04,4.91E+02,1.47E+08,-1.64E-02
2454467.5, A.D. 2008-Jan-02 00:00:00.0000,-2.77E+07,1.44E+08,-2.21E+03,-2.97E+01,-5.70E+00,7.06E-04,4.91E+02,1.47E+08,-7.97E-03
2454468.5, A.D. 2008-Jan-03 00:00:00.0000,-3.02E+07,1.44E+08,-2.16E+03,-2.96E+01,-6.22E+00,5.03E-04,4.91E+02,1.47E+08,4.25E-05
2454469.5, A.D. 2008-Jan-04 00:00:00.0000,-3.28E+07,1.43E+08,-2.13E+03,-2.95E+01,-6.74E+00,2.85E-04,4.91E+02,1.47E+08,7.72E-03
2454470.5, A.D. 2008-Jan-05 00:00:00.0000,-3.53E+07,1.43E+08,-2.11E+03,-2.94E+01,-7.26E+00,6.19E-05,4.91E+02,1.47E+08,1.51E-02
2454471.5, A.D. 2008-Jan-06 00:00:00.0000,-3.79E+07,1.42E+08,-2.11E+03,-2.93E+01,-7.78E+00,-1.58E-04,4.91E+02,1.47E+08,2.22E-02
2454472.5, A.D. 2008-Jan-07 00:00:00.0000,-4.04E+07,1.41E+08,-2.14E+03,-2.91E+01,-8.29E+00,-3.65E-04,4.91E+02,1.47E+08,2.90E-02
2454473.5, A.D. 2008-Jan-08 00:00:00.0000,-4.29E+07,1.41E+08,-2.18E+03,-2.90E+01,-8.80E+00,-5.49E-04,4.91E+02,1.47E+08,3.57E-02
2454474.5, A.D. 2008-Jan-09 00:00:00.0000,-4.54E+07,1.40E+08,-2.23E+03,-2.88E+01,-9.31E+00,-7.00E-04,4.91E+02,1.47E+08,4.23E-02
2454475.5, A.D. 2008-Jan-10 00:00:00.0000,-4.79E+07,1.39E+08,-2.30E+03,-2.87E+01,-9.81E+00,-8.08E-04,4.91E+02,1.47E+08,4.89E-02
2454476.5, A.D. 2008-Jan-11 00:00:00.0000,-5.03E+07,1.38E+08,-2.37E+03,-2.85E+01,-1.03E+01,-8.64E-04,4.91E+02,1.47E+08,5.55E-02
2454477.5, A.D. 2008-Jan-12 00:00:00.0000,-5.28E+07,1.37E+08,-2.44E+03,-2.83E+01,-1.08E+01,-8.64E-04,4.91E+02,1.47E+08,6.24E-02
2454478.5, A.D. 2008-Jan-13 00:00:00.0000,-5.52E+07,1.36E+08,-2.52E+03,-2.81E+01,-1.13E+01,-8.02E-04,4.91E+02,1.47E+08,6.95E-02
2454479.5, A.D. 2008-Jan-14 00:00:00.0000,-5.77E+07,1.35E+08,-2.58E+03,-2.79E+01,-1.18E+01,-6.80E-04,4.91E+02,1.47E+08,7.70E-02
2454480.5, A.D. 2008-Jan-15 00:00:00.0000,-6.01E+07,1.34E+08,-2.63E+03,-2.77E+01,-1.23E+01,-5.01E-04,4.91E+02,1.47E+08,8.50E-02
2454481.5, A.D. 2008-Jan-16 00:00:00.0000,-6.24E+07,1.33E+08,-2.67E+03,-2.75E+01,-1.28E+01,-2.72E-04,4.91E+02,1.47E+08,9.35E-02
2454482.5, A.D. 2008-Jan-17 00:00:00.0000,-6.48E+07,1.32E+08,-2.68E+03,-2.72E+01,-1.32E+01,-5.95E-06,4.91E+02,1.47E+08,1.03E-01
