            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454382.500000000, A.D. 2007-Oct-09 00:00:00.0000,  3.217752145126258E+08,  2.726655122365053E+08, -5.080707515318196E+07, -1.190032357732142E+01,  1.248392651485696E+01,  2.581969507100753E+00,  1.417027739090019E+03,  4.248142289559793E+08, -1.309926162605187E+00,
2454383.500000000, A.D. 2007-Oct-10 00:00:00.0000,  3.207449489434521E+08,  2.737423592346724E+08, -5.058366508153053E+07, -1.194839716411196E+01,  1.244305501282559E+01,  2.589555368739774E+00,  1.416649927325063E+03,  4.247009638383019E+08, -1.311948999381209E+00,
2454384.500000000, A.D. 2007-Oct-11 00:00:00.0000,  3.197105348263217E+08,  2.748156665606977E+08, -5.035960077548316E+07, -1.199635465174464E+01,  1.240198969061140E+01,  2.597113799142611E+00,  1.416271534797245E+03,  4.245875246122987E+08, -1.313956439897710E+00,
2454385.500000000, A.D. 2007-Oct-12 00:00:00.0000,  3.186719822254707E+08,  2.758854174765620E+08, -5.013488461097942E+07, -1.204419526988945E+01,  1.236073073487323E+01,  2.604644662154001E+00,  1.415892565950692E+03,  4.244739126102849E+08, -1.315948436065550E+00,
2454386.500000000, A.D. 2007-Oct-13 00:00:00.0000,  3.176293012717494E+08,  2.769515952604883E+08, -4.990951897572979E+07, -1.209191824686102E+01,  1.231927833493370E+01,  2.612147821450485E+00,  1.415513025243370E+03,  4.243601291687259E+08, -1.317924939898040E+00,
2454387.500000000, A.D. 2007-Oct-14 00:00:00.0000,  3.165825021627430E+08,  2.780141832071723E+08, -4.968350626923072E+07, -1.213952280954965E+01,  1.227763268278344E+01,  2.619623140534228E+00,  1.415132917147069E+03,  4.242461756282300E+08, -1.319885903470460E+00,
2454388.500000000, A.D. 2007-Oct-15 00:00:00.0000,  3.155315951628977E+08,  2.790731646280136E+08, -4.945684890277974E+07, -1.218700818334695E+01,  1.223579397309543E+01,  2.627070482727248E+00,  1.414752246147385E+03,  4.241320533335455E+08, -1.321831278870445E+00,
2454389.500000000, A.D. 2007-Oct-16 00:00:00.0000,  3.144765906036538E+08,  2.801285228513481E+08, -4.922954929949145E+07, -1.223437359204705E+01,  1.219376240325296E+01,  2.634489711164503E+00,  1.414371016743731E+03,  4.240177636335621E+08, -1.323761018122417E+00,
2454390.500000000, A.D. 2007-Oct-17 00:00:00.0000,  3.134174988835887E+08,  2.811802412226846E+08, -4.900160989431378E+07, -1.228161825774102E+01,  1.215153817339998E+01,  2.641880688788177E+00,  1.413989233449365E+03,  4.239033078813210E+08, -1.325675073093766E+00,
2454391.500000000, A.D. 2007-Oct-18 00:00:00.0000,  3.123543304685690E+08,  2.822283031049463E+08, -4.877303313404502E+07, -1.232874140070061E+01,  1.210912148651839E+01,  2.649243278343190E+00,  1.413606900791455E+03,  4.237886874340325E+08, -1.327573395376658E+00,
2454392.500000000, A.D. 2007-Oct-19 00:00:00.0000,  3.112870958919126E+08,  2.832726918787203E+08, -4.854382147735094E+07, -1.237574223925401E+01,  1.206651254853938E+01,  2.656577342374677E+00,  1.413224023311177E+03,  4.236739036531070E+08, -1.329455936142198E+00,
2454393.500000000, A.D. 2007-Oct-20 00:00:00.0000,  3.102158057545624E+08,  2.843133909425192E+08, -4.831397739478197E+07, -1.242261998966296E+01,  1.202371156849423E+01,  2.663882743229346E+00,  1.412840605563858E+03,  4.235589579041975E+08, -1.331322645970139E+00,
2454394.500000000, A.D. 2007-Oct-21 00:00:00.0000,  3.091404707252697E+08,  2.853503837130565E+08, -4.808350336879020E+07, -1.246937386600954E+01,  1.198071875871779E+01,  2.671159343060991E+00,  1.412456652119179E+03,  4.234438515572594E+08, -1.333173474650255E+00,
2454395.500000000, A.D. 2007-Oct-22 00:00:00.0000,  3.080611015407864E+08,  2.863836536255432E+08, -4.785240189374549E+07, -1.251600308011432E+01,  1.193753433509926E+01,  2.678407003843780E+00,  1.412072167561429E+03,  4.233285859866285E+08, -1.335008370974038E+00,
2454396.500000000, A.D. 2007-Oct-23 00:00:00.0000,  3.069777090060621E+08,  2.874131841340077E+08, -4.762067547595018E+07, -1.256250684150086E+01,  1.189415851738534E+01,  2.685625587393779E+00,  1.411687156489825E+03,  4.232131625711154E+08, -1.336827282522630E+00,
2454397.500000000, A.D. 2007-Oct-24 00:00:00.0000,  3.058903039944422E+08,  2.884389587116429E+08, -4.738832663365144E+07, -1.260888435742684E+01,  1.185059152952692E+01,  2.692814955400039E+00,  1.411301623518891E+03,  4.230975826941189E+08, -1.338630155469936E+00,
