            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2454175.500000000, A.D. 2007-Mar-16 00:00:00.0000,  5.894753775749988E+07, -2.047798131444120E+08, -5.738209580156431E+06,  2.419923071186391E+01,  8.781553975678646E+00, -4.104105379245997E-01,  7.110668924520406E+02,  2.131724914906189E+08, -1.733079591569793E+00,
2454177.500000000, A.D. 2007-Mar-18 00:00:00.0000,  6.311680441186063E+07, -2.032205229608946E+08, -5.807948308754846E+06,  2.405442111408557E+01,  9.265506872515752E+00, -3.967135807552382E-01,  7.100767503319248E+02,  2.128756543506601E+08, -1.702396962993120E+00,
2454179.500000000, A.D. 2007-Mar-20 00:00:00.0000,  6.726014073011853E+07, -2.015777578272614E+08, -5.875301108202219E+06,  2.389910897423948E+01,  9.747656685585159E+00, -3.827964320726358E-01,  7.091045323152572E+02,  2.125841907217314E+08, -1.670887662487417E+00,
2454181.500000000, A.D. 2007-Mar-22 00:00:00.0000,  7.137573102147186E+07, -1.998518514568647E+08, -5.940230376534253E+06,  2.373328565774877E+01,  1.022774665024851E+01, -3.686643196898873E-01,  7.081507123288742E+02,  2.122982426835241E+08, -1.638560618933987E+00,
2454183.500000000, A.D. 2007-Mar-24 00:00:00.0000,  7.546175871019688E+07, -1.980431821432371E+08, -6.002699424505517E+06,  2.355694964784101E+01,  1.070551770667478E+01, -3.543226068834739E-01,  7.072157589290667E+02,  2.120179507056804E+08, -1.605425623659046E+00,
2454185.500000000, A.D. 2007-Mar-26 00:00:00.0000,  7.951640760888578E+07, -1.961521731563087E+08, -6.062672514578268E+06,  2.337010686107515E+01,  1.118070847243821E+01, -3.397768781083790E-01,  7.063001348942711E+02,  2.117434535256851E+08, -1.571493048719337E+00,
2454187.500000000, A.D. 2007-Mar-28 00:00:00.0000,  8.353786322205383E+07, -1.941792930948859E+08, -6.120114900301889E+06,  2.317277096229272E+01,  1.165305557105390E+01, -3.250330134301915E-01,  7.054042968098679E+02,  2.114748880243919E+08, -1.536773872804275E+00,
2454189.500000000, A.D. 2007-Mar-30 00:00:00.0000,  8.752431407886299E+07, -1.921250561961086E+08, -6.174992866433606E+06,  2.296496343450910E+01,  1.212229419105590E+01, -3.100971273201312E-01,  7.045286946549543E+02,  2.112123891021402E+08, -1.501279986603216E+00,
2454191.500000000, A.D. 2007-Apr-01 00:00:00.0000,  9.147395308792865E+07, -1.899900225980115E+08, -6.227273766710117E+06,  2.274671352661465E+01,  1.258815808017612E+01, -2.949754808746938E-01,  7.036737713781062E+02,  2.109560895515724E+08, -1.465024023079806E+00,
2454193.500000000, A.D. 2007-Apr-03 00:00:00.0000,  9.538497891867045E+07, -1.877747985565965E+08, -6.276926062547162E+06,  2.251805853895057E+01,  1.305037973251368E+01, -2.796745585594520E-01,  7.028399624805403E+02,  2.107061199326689E+08, -1.428019223661637E+00,
