            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454781.5, A.D. 2008-Nov-11 00:00:00.0000,-1.11E+08,-1.99E+08,-1.43E+06,2.21E+01,-9.76E+00,-7.46E-01,7.60E+02,2.28E+08,-2.25E+00
2454783.5, A.D. 2008-Nov-13 00:00:00.0000,-1.08E+08,-2.01E+08,-1.56E+06,2.23E+01,-9.37E+00,-7.43E-01,7.59E+02,2.28E+08,-2.26E+00
2454785.5, A.D. 2008-Nov-15 00:00:00.0000,-1.04E+08,-2.02E+08,-1.69E+06,2.25E+01,-8.98E+00,-7.40E-01,7.58E+02,2.27E+08,-2.26E+00
2454787.5, A.D. 2008-Nov-17 00:00:00.0000,-9.97E+07,-2.04E+08,-1.82E+06,2.27E+01,-8.58E+00,-7.37E-01,7.56E+02,2.27E+08,-2.26E+00
2454789.5, A.D. 2008-Nov-19 00:00:00.0000,-9.58E+07,-2.05E+08,-1.94E+06,2.29E+01,-8.18E+00,-7.33E-01,7.55E+02,2.26E+08,-2.26E+00
2454791.5, A.D. 2008-Nov-21 00:00:00.0000,-9.18E+07,-2.06E+08,-2.07E+06,2.31E+01,-7.77E+00,-7.29E-01,7.54E+02,2.26E+08,-2.26E+00
2454793.5, A.D. 2008-Nov-23 00:00:00.0000,-8.78E+07,-2.08E+08,-2.20E+06,2.32E+01,-7.36E+00,-7.25E-01,7.52E+02,2.26E+08,-2.26E+00
2454795.5, A.D. 2008-Nov-25 00:00:00.0000,-8.38E+07,-2.09E+08,-2.32E+06,2.34E+01,-6.94E+00,-7.20E-01,7.51E+02,2.25E+08,-2.26E+00
2454797.5, A.D. 2008-Nov-27 00:00:00.0000,-7.97E+07,-2.10E+08,-2.44E+06,2.36E+01,-6.52E+00,-7.15E-01,7.50E+02,2.25E+08,-2.26E+00
2454799.5, A.D. 2008-Nov-29 00:00:00.0000,-7.57E+07,-2.11E+08,-2.57E+06,2.37E+01,-6.09E+00,-7.10E-01,7.49E+02,2.24E+08,-2.26E+00
2454801.5, A.D. 2008-Dec-01 00:00:00.0000,-7.16E+07,-2.12E+08,-2.69E+06,2.39E+01,-5.66E+00,-7.05E-01,7.47E+02,2.24E+08,-2.26E+00
2454803.5, A.D. 2008-Dec-03 00:00:00.0000,-6.74E+07,-2.13E+08,-2.81E+06,2.40E+01,-5.22E+00,-6.99E-01,7.46E+02,2.24E+08,-2.25E+00
2454805.5, A.D. 2008-Dec-05 00:00:00.0000,-6.33E+07,-2.14E+08,-2.93E+06,2.42E+01,-4.78E+00,-6.93E-01,7.45E+02,2.23E+08,-2.25E+00
2454807.5, A.D. 2008-Dec-07 00:00:00.0000,-5.91E+07,-2.15E+08,-3.05E+06,2.43E+01,-4.34E+00,-6.87E-01,7.43E+02,2.23E+08,-2.24E+00
2454809.5, A.D. 2008-Dec-09 00:00:00.0000,-5.49E+07,-2.16E+08,-3.17E+06,2.44E+01,-3.89E+00,-6.81E-01,7.42E+02,2.22E+08,-2.23E+00
2454811.5, A.D. 2008-Dec-11 00:00:00.0000,-5.06E+07,-2.16E+08,-3.29E+06,2.45E+01,-3.44E+00,-6.74E-01,7.41E+02,2.22E+08,-2.23E+00
2454813.5, A.D. 2008-Dec-13 00:00:00.0000,-4.64E+07,-2.17E+08,-3.40E+06,2.46E+01,-2.99E+00,-6.67E-01,7.40E+02,2.22E+08,-2.22E+00
2454815.5, A.D. 2008-Dec-15 00:00:00.0000,-4.21E+07,-2.17E+08,-3.52E+06,2.47E+01,-2.53E+00,-6.60E-01,7.38E+02,2.21E+08,-2.21E+00
2454817.5, A.D. 2008-Dec-17 00:00:00.0000,-3.79E+07,-2.18E+08,-3.63E+06,2.48E+01,-2.07E+00,-6.52E-01,7.37E+02,2.21E+08,-2.20E+00
2454819.5, A.D. 2008-Dec-19 00:00:00.0000,-3.36E+07,-2.18E+08,-3.74E+06,2.49E+01,-1.61E+00,-6.44E-01,7.36E+02,2.21E+08,-2.19E+00
2454821.5, A.D. 2008-Dec-21 00:00:00.0000,-2.93E+07,-2.18E+08,-3.85E+06,2.49E+01,-1.14E+00,-6.36E-01,7.34E+02,2.20E+08,-2.17E+00
2454823.5, A.D. 2008-Dec-23 00:00:00.0000,-2.49E+07,-2.18E+08,-3.96E+06,2.50E+01,-6.68E-01,-6.28E-01,7.33E+02,2.20E+08,-2.16E+00
2454825.5, A.D. 2008-Dec-25 00:00:00.0000,-2.06E+07,-2.18E+08,-4.07E+06,2.50E+01,-1.95E-01,-6.19E-01,7.32E+02,2.19E+08,-2.15E+00
2454827.5, A.D. 2008-Dec-27 00:00:00.0000,-1.63E+07,-2.18E+08,-4.18E+06,2.51E+01,2.80E-01,-6.10E-01,7.31E+02,2.19E+08,-2.13E+00
