            JDTDB,            Calendar_Date,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR
2454404.5, A.D. 2007-Oct-31 00:00:00.0000,1.18E+08,9.89E+07,8.56E+05,-1.84E+01,2.67E+01,2.59E-01,5.13E+02,1.54E+08,3.13E+00
2454405.5, A.D. 2007-Nov-01 00:00:00.0000,1.16E+08,1.01E+08,8.79E+05,-1.87E+01,2.64E+01,2.57E-01,5.13E+02,1.54E+08,3.22E+00
2454406.5, A.D. 2007-Nov-02 00:00:00.0000,1.14E+08,1.03E+08,9.01E+05,-1.91E+01,2.61E+01,2.54E-01,5.14E+02,1.54E+08,3.32E+00
2454407.5, A.D. 2007-Nov-03 00:00:00.0000,1.13E+08,1.06E+08,9.22E+05,-1.94E+01,2.57E+01,2.51E-01,5.15E+02,1.55E+08,3.41E+00
2454408.5, A.D. 2007-Nov-04 00:00:00.0000,1.11E+08,1.08E+08,9.44E+05,-1.98E+01,2.54E+01,2.48E-01,5.16E+02,1.55E+08,3.51E+00
2454409.5, A.D. 2007-Nov-05 00:00:00.0000,1.09E+08,1.10E+08,9.65E+05,-2.01E+01,2.51E+01,2.45E-01,5.17E+02,1.55E+08,3.60E+00
2454410.5, A.D. 2007-Nov-06 00:00:00.0000,1.08E+08,1.12E+08,9.86E+05,-2.05E+01,2.47E+01,2.42E-01,5.18E+02,1.55E+08,3.69E+00
2454411.5, A.D. 2007-Nov-07 00:00:00.0000,1.06E+08,1.14E+08,1.01E+06,-2.08E+01,2.44E+01,2.43E-01,5.20E+02,1.56E+08,3.78E+00
2454412.5, A.D. 2007-Nov-08 00:00:00.0000,1.04E+08,1.16E+08,1.03E+06,-2.11E+01,2.40E+01,2.44E-01,5.21E+02,1.56E+08,3.86E+00
2454413.5, A.D. 2007-Nov-09 00:00:00.0000,1.02E+08,1.18E+08,1.05E+06,-2.14E+01,2.37E+01,2.46E-01,5.22E+02,1.56E+08,3.95E+00
2454414.5, A.D. 2007-Nov-10 00:00:00.0000,1.00E+08,1.21E+08,1.07E+06,-2.17E+01,2.33E+01,2.47E-01,5.23E+02,1.57E+08,4.03E+00
2454415.5, A.D. 2007-Nov-11 00:00:00.0000,9.84E+07,1.23E+08,1.09E+06,-2.20E+01,2.30E+01,2.48E-01,5.24E+02,1.57E+08,4.11E+00
2454416.5, A.D. 2007-Nov-12 00:00:00.0000,9.64E+07,1.24E+08,1.11E+06,-2.23E+01,2.26E+01,2.49E-01,5.25E+02,1.57E+08,4.19E+00
2454417.5, A.D. 2007-Nov-13 00:00:00.0000,9.45E+07,1.26E+08,1.14E+06,-2.26E+01,2.22E+01,2.49E-01,5.27E+02,1.58E+08,4.27E+00
2454418.5, A.D. 2007-Nov-14 00:00:00.0000,9.25E+07,1.28E+08,1.16E+06,-2.29E+01,2.19E+01,2.47E-01,5.28E+02,1.58E+08,4.35E+00
2454419.5, A.D. 2007-Nov-15 00:00:00.0000,9.06E+07,1.30E+08,1.18E+06,-2.31E+01,2.15E+01,2.43E-01,5.29E+02,1.59E+08,4.43E+00
2454420.5, A.D. 2007-Nov-16 00:00:00.0000,8.85E+07,1.32E+08,1.20E+06,-2.34E+01,2.11E+01,2.40E-01,5.30E+02,1.59E+08,4.50E+00
2454421.5, A.D. 2007-Nov-17 00:00:00.0000,8.65E+07,1.34E+08,1.22E+06,-2.36E+01,2.07E+01,2.36E-01,5.32E+02,1.59E+08,4.57E+00
2454422.5, A.D. 2007-Nov-18 00:00:00.0000,8.45E+07,1.36E+08,1.24E+06,-2.39E+01,2.03E+01,2.33E-01,5.33E+02,1.60E+08,4.65E+00
2454423.5, A.D. 2007-Nov-19 00:00:00.0000,8.24E+07,1.37E+08,1.26E+06,-2.41E+01,2.00E+01,2.29E-01,5.34E+02,1.60E+08,4.72E+00
2454424.5, A.D. 2007-Nov-20 00:00:00.0000,8.03E+07,1.39E+08,1.28E+06,-2.43E+01,1.96E+01,2.26E-01,5.36E+02,1.61E+08,4.79E+00
2454425.5, A.D. 2007-Nov-21 00:00:00.0000,7.82E+07,1.41E+08,1.30E+06,-2.46E+01,1.92E+01,2.22E-01,5.37E+02,1.61E+08,4.85E+00
2454426.5, A.D. 2007-Nov-22 00:00:00.0000,7.60E+07,1.42E+08,1.32E+06,-2.48E+01,1.88E+01,2.19E-01,5.38E+02,1.61E+08,4.92E+00
2454427.5, A.D. 2007-Nov-23 00:00:00.0000,7.39E+07,1.44E+08,1.34E+06,-2.50E+01,1.84E+01,2.15E-01,5.40E+02,1.62E+08,4.98E+00
2454428.5, A.D. 2007-Nov-24 00:00:00.0000,7.17E+07,1.46E+08,1.35E+06,-2.52E+01,1.80E+01,2.11E-01,5.41E+02,1.62E+08,5.05E+00
2454429.5, A.D. 2007-Nov-25 00:00:00.0000,6.95E+07,1.47E+08,1.37E+06,-2.54E+01,1.76E+01,2.08E-01,5.43E+02,1.63E+08,5.11E+00
2454430.5, A.D. 2007-Nov-26 00:00:00.0000,6.73E+07,1.49E+08,1.39E+06,-2.55E+01,1.72E+01,2.04E-01,5.44E+02,1.63E+08,5.17E+00
2454431.5, A.D. 2007-Nov-27 00:00:00.0000,6.51E+07,1.50E+08,1.41E+06,-2.57E+01,1.69E+01,2.00E-01,5.46E+02,1.64E+08,5.22E+00
2454432.5, A.D. 2007-Nov-28 00:00:00.0000,6.29E+07,1.52E+08,1.43E+06,-2.59E+01,1.65E+01,1.97E-01,5.47E+02,1.64E+08,5.28E+00
2454433.5, A.D. 2007-Nov-29 00:00:00.0000,6.07E+07,1.53E+08,1.44E+06,-2.60E+01,1.61E+01,1.93E-01,5.49E+02,1.65E+08,5.33E+00
2454434.5, A.D. 2007-Nov-30 00:00:00.0000,5.84E+07,1.54E+08,1.46E+06,-2.62E+01,1.57E+01,1.89E-01,5.50E+02,1.65E+08,5.39E+00
2454435.5, A.D. 2007-Dec-01 00:00:00.0000,5.61E+07,1.56E+08,1.47E+06,-2.63E+01,1.53E+01,1.86E-01,5.52E+02,1.65E+08,5.44E+00
2454436.5, A.D. 2007-Dec-02 00:00:00.0000,5.38E+07,1.57E+08,1.49E+06,-2.65E+01,1.49E+01,1.82E-01,5.53E+02,1.66E+08,5.49E+00
2454437.5, A.D. 2007-Dec-03 00:00:00.0000,5.15E+07,1.58E+08,1.51E+06,-2.66E+01,1.45E+01,1.78E-01,5.55E+02,1.66E+08,5.53E+00
2454438.5, A.D. 2007-Dec-04 00:00:00.0000,4.92E+07,1.59E+08,1.52E+06,-2.67E+01,1.41E+01,1.74E-01,5.57E+02,1.67E+08,5.58E+00
2454439.5, A.D. 2007-Dec-05 00:00:00.0000,4.69E+07,1.61E+08,1.54E+06,-2.69E+01,1.37E+01,1.71E-01,5.58E+02,1.67E+08,5.62E+00
2454440.5, A.D. 2007-Dec-06 00:00:00.0000,4.46E+07,1.62E+08,1.55E+06,-2.70E+01,1.33E+01,1.67E-01,5.60E+02,1.68E+08,5.67E+00
2454441.5, A.D. 2007-Dec-07 00:00:00.0000,4.23E+07,1.63E+08,1.57E+06,-2.71E+01,1.29E+01,1.63E-01,5.62E+02,1.68E+08,5.71E+00
2454442.5, A.D. 2007-Dec-08 00:00:00.0000,3.99E+07,1.64E+08,1.58E+06,-2.72E+01,1.25E+01,1.59E-01,5.63E+02,1.69E+08,5.75E+00
2454443.5, A.D. 2007-Dec-09 00:00:00.0000,3.76E+07,1.65E+08,1.59E+06,-2.73E+01,1.21E+01,1.55E-01,5.65E+02,1.69E+08,5.79E+00
2454444.5, A.D. 2007-Dec-10 00:00:00.0000,3.52E+07,1.66E+08,1.61E+06,-2.74E+01,1.17E+01,1.52E-01,5.67E+02,1.70E+08,5.82E+00
2454445.5, A.D. 2007-Dec-11 00:00:00.0000,3.28E+07,1.67E+08,1.62E+06,-2.74E+01,1.14E+01,1.48E-01,5.68E+02,1.70E+08,5.86E+00
2454446.5, A.D. 2007-Dec-12 00:00:00.0000,3.05E+07,1.68E+08,1.63E+06,-2.75E+01,1.10E+01,1.44E-01,5.70E+02,1.71E+08,5.89E+00
2454447.5, A.D. 2007-Dec-13 00:00:00.0000,2.81E+07,1.69E+08,1.64E+06,-2.76E+01,1.06E+01,1.40E-01,5.72E+02,1.71E+08,5.93E+00
2454448.5, A.D. 2007-Dec-14 00:00:00.0000,2.57E+07,1.70E+08,1.66E+06,-2.76E+01,1.02E+01,1.37E-01,5.73E+02,1.72E+08,5.96E+00
2454449.5, A.D. 2007-Dec-15 00:00:00.0000,2.33E+07,1.71E+08,1.67E+06,-2.77E+01,9.82E+00,1.33E-01,5.75E+02,1.72E+08,5.99E+00
2454450.5, A.D. 2007-Dec-16 00:00:00.0000,2.09E+07,1.72E+08,1.68E+06,-2.77E+01,9.44E+00,1.29E-01,5.77E+02,1.73E+08,6.01E+00
2454451.5, A.D. 2007-Dec-17 00:00:00.0000,1.85E+07,1.72E+08,1.69E+06,-2.78E+01,9.06E+00,1.26E-01,5.79E+02,1.73E+08,6.04E+00
2454452.5, A.D. 2007-Dec-18 00:00:00.0000,1.61E+07,1.73E+08,1.70E+06,-2.78E+01,8.68E+00,1.22E-01,5.80E+02,1.74E+08,6.07E+00
2454453.5, A.D. 2007-Dec-19 00:00:00.0000,1.37E+07,1.74E+08,1.71E+06,-2.79E+01,8.30E+00,1.22E-01,5.82E+02,1.74E+08,6.09E+00
2454454.5, A.D. 2007-Dec-20 00:00:00.0000,1.13E+07,1.75E+08,1.72E+06,-2.79E+01,7.93E+00,1.23E-01,5.84E+02,1.75E+08,6.11E+00
2454455.5, A.D. 2007-Dec-21 00:00:00.0000,8.90E+06,1.75E+08,1.73E+06,-2.79E+01,7.56E+00,1.23E-01,5.86E+02,1.76E+08,6.13E+00
2454456.5, A.D. 2007-Dec-22 00:00:00.0000,6.48E+06,1.76E+08,1.74E+06,-2.79E+01,7.18E+00,1.24E-01,5.87E+02,1.76E+08,6.15E+00
2454457.5, A.D. 2007-Dec-23 00:00:00.0000,4.07E+06,1.77E+08,1.75E+06,-2.80E+01,6.81E+00,1.24E-01,5.89E+02,1.77E+08,6.17E+00
2454458.5, A.D. 2007-Dec-24 00:00:00.0000,1.65E+06,1.77E+08,1.76E+06,-2.80E+01,6.45E+00,1.25E-01,5.91E+02,1.77E+08,6.19E+00
2454459.5, A.D. 2007-Dec-25 00:00:00.0000,-7.63E+05,1.78E+08,1.78E+06,-2.80E+01,6.08E+00,1.25E-01,5.93E+02,1.78E+08,6.20E+00
2454460.5, A.D. 2007-Dec-26 00:00:00.0000,-3.18E+06,1.78E+08,1.79E+06,-2.80E+01,5.72E+00,1.26E-01,5.94E+02,1.78E+08,6.22E+00
2454461.5, A.D. 2007-Dec-27 00:00:00.0000,-5.60E+06,1.79E+08,1.80E+06,-2.80E+01,5.36E+00,1.25E-01,5.96E+02,1.79E+08,6.23E+00
2454462.5, A.D. 2007-Dec-28 00:00:00.0000,-8.01E+06,1.79E+08,1.81E+06,-2.80E+01,5.00E+00,1.26E-01,5.98E+02,1.79E+08,6.25E+00
2454463.5, A.D. 2007-Dec-29 00:00:00.0000,-1.04E+07,1.80E+08,1.82E+06,-2.79E+01,4.64E+00,1.26E-01,6.00E+02,1.80E+08,6.26E+00
